stoxxId,name,owner,totalPatents,technologyName,technologyCode,totalPatentsInTechnology,worldClassPatentsInTechnology,specialisation,environment,environmentWorldClass
US8093,EconsightMetaverse,,53,3D Image Modelling,IC5.3.1.,1,1,0.0189,7,6
US8093,EconsightMetaverse,,53,"VR & AR, XR, Meta",IC5.2.10.,2,2,0.0377,7,6
US8093,EconsightMetaverse,,53,Digital Twin,IC5.3.14.,5,4,0.0943,7,6
473821,EconsightMetaverse,,576,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.0017,1,0
BC,EconsightMetaverse,,923,3D Image Modelling,IC5.3.1.,3,0,0.0033,9,1
BC,EconsightMetaverse,,923,"VR & AR, XR, Meta",IC5.2.10.,7,1,0.0076,9,1
674058,EconsightMetaverse,,4177,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.0002,1,0
ALD,EconsightMetaverse,,14237,GPU Graphic Processor Technology,IC5.3.17.,44,11,0.0031,376,84
ALD,EconsightMetaverse,,14237,3D Image Modelling,IC5.3.1.,146,35,0.0103,376,84
ALD,EconsightMetaverse,,14237,Avatar,IC5.2.1.,17,2,0.0012,376,84
ALD,EconsightMetaverse,,14237,Blockchain,7S.1.2.,22,1,0.0015,376,84
ALD,EconsightMetaverse,,14237,Digital Twin,IC5.3.14.,54,6,0.0038,376,84
ALD,EconsightMetaverse,,14237,"VR & AR, XR, Meta",IC5.2.10.,170,56,0.0119,376,84
SSD,EconsightMetaverse,,209,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.0048,1,0
489108,EconsightMetaverse,,3341,Blockchain,7S.1.2.,1,0,0.0003,13,1
489108,EconsightMetaverse,,3341,Digital Twin,IC5.3.14.,2,1,0.0006,13,1
489108,EconsightMetaverse,,3341,3D Image Modelling,IC5.3.1.,2,0,0.0006,13,1
489108,EconsightMetaverse,,3341,Avatar,IC5.2.1.,4,0,0.0012,13,1
489108,EconsightMetaverse,,3341,GPU Graphic Processor Technology,IC5.3.17.,1,0,0.0003,13,1
489108,EconsightMetaverse,,3341,"VR & AR, XR, Meta",IC5.2.10.,9,0,0.0027,13,1
BRCM,EconsightMetaverse,,15588,"NFT, Non-fungible Token",IC5.3.18.,1,0,0.0001,258,36
BRCM,EconsightMetaverse,,15588,Blockchain,7S.1.2.,47,13,0.003,258,36
BRCM,EconsightMetaverse,,15588,3D Image Modelling,IC5.3.1.,36,3,0.0023,258,36
BRCM,EconsightMetaverse,,15588,Avatar,IC5.2.1.,46,7,0.003,258,36
